Date,Opportunity Name,Account Name,City,State,LEED Certification Target,Building Type - Concatenated,Building Type - Primary,Building Type - Secondary,Brief Description,LEED Certification Level,Industry / Sector - Concatenated,Industry / Sector - Primary,Industry / Sector - Secondary,Service Category (New),Region Where Located - Primary,Region Where Located - Secondary
201-08-11 09:33:00,Belcarra Apartments,BRE Properties,Bellevue,WA,LEED Certified,Multifamily Residential|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"With the Belcarra Apartments in downtown Bellevue, this REIT launched a portfolio-wide green building program. Brightworks has partnered with BRE on six developments since the launch of this program.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Headquarters Campus,PetSmart,Phoenix,AZ,N/A,Headquarters|Offices,Headquarters,Offices,"With Prudential Real Estate Investors, Brightworks completed a study of the feasibility of achieving LEED EB:O&M certification for PetSmart's corporate headquarters.",N/A,Retail,Retail,,LEED Services,US - Other Regions,
201-08-11 09:33:00,College of Business Administration,Cal Poly Pomona,Pomona,CA,LEED Silver,Higher Education,Higher Education,,"With nearly one-quarter of all Cal Poly Pomona students taking courses in the College of Business Administration, time had come for the college to have a home of its own, featuring new, state-of-the-art faculty, student, classroom, and auditorium space.",LEED Silver,Higher Education,Higher Education,,LEED Services,US - Southern California,
201-08-11 09:33:00,HUD Technical Assistance,Boise Neighborhood Housing Services,Boise,ID,N/A,Multifamily Residential,Multifamily Residential,,"With many sustainability practices implemented or planned for its properties, Neighborhood Housing Services asked Brightworks to help it become a NeighborWorks America Green Organization.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,Other Green Building; Corporate Sustainability Programs,US - Pacific Northwest,
201-08-11 09:33:00,New Headquarters,Ziba Design,Portland,OR,LEED Gold,Headquarters|Offices,Headquarters,Offices,"Within Ziba Design's new headquarters, a healthy and sustainable creative office environment inspires staff and clients alike as they pursue innovation in product design.",LEED Gold,Professional Services,Professional Services,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Biological Computational and Science Facility,Pacific Northwest National Laboratory (PNNL),Richland,WA,LEED Silver,Laboratories|Government,Laboratories,Government,"Within this LEED Gold complex, scientists research renewable bioenergy, carbon sequestration, groundwater contamination, and radiation-related health effects. In addition, the complex houses energy and national security computing capabilities.",LEED Gold,Government|Energy,Government,Energy,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Comparative Assessment of Medical Office Buildings,Cleveland Clinic,Cleveland,OH,N/A,Healthcare|Offices,Healthcare,Offices,"Why would two identical medical office buildings with similar sites achieve different LEED certification levels? The Cleveland Clinic retained Brightworks with HLMS Sustainability to find out, by comparing LEED documentation and interviewing stakeholders.",N/A,Healthcare & Social Services,Healthcare & Social Services,,LEED Services; Other Green Building,US - Midwest,
201-08-11 09:33:00,Division 3 Maintenance Facility Renovation & Addition,Los Angeles County Metropolitan Transit Authority (MTA),Los Angeles,CA,LEED Certified,Industrial|Transportation & Parking|Government,Industrial,Government,"While fulfilling Los Angeles County MTA's LEED requirements, this maintenance facility renovation and addition also achieved 94% construction waste diversion and 43% regional sourcing for building materials, among other notable achievements.",LEED Certified,Government|Transportation,Government,Transportation,LEED Services,US - Southern California,
201-08-11 09:33:00,Alta Bates Patient Care Pavilion Parking Garage,Sutter Health,Oakland,CA,N/A,Transportation & Parking|Healthcare,Transportation & Parking,Healthcare,"While also managing the LEED certification of the adjacent, three-block Alta Bates Patient Care Pavilion in Oakland, Brightworks is helping Sutter Health advance sustainable design and construction practices in a new parking garage serving the complex.",N/A,Healthcare & Social Services,Healthcare & Social Services,,Other Green Building,US - Northern California,
201-08-11 09:33:00,Schnitzer Center for Art and Design,Pacific Northwest College of Art (PNCA),Portland,OR,LEED Gold,Higher Education|Cultural & Public Service,Higher Education,Cultural & Public Service,"When this sustainable renovation of a 1919 Federal building is complete, it will use less water, produce less sewage, consume less energy, and generate less solid waste than a conventional building, allowing it to achieve LEED Platinum certification!",Not yet certified,Higher Education|Arts & Entertainment,Higher Education,Arts & Entertainment,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,100 Arlington Apartments,Related,Boston,MA,LEED Silver,Multifamily Residential,Multifamily Residential,,"When the conversion of this 1927-era tower is complete, Boston's Back Bay will enjoy 232 new luxury apartments with period charm and modern amenities. Dramatic street-level arched windows will frame the offerings of high-end retailers.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Northeast,
201-08-11 09:33:00,Corporate Campus Sustainability Playbook,Lane Partners,North San Jose,CA,N/A,Offices|Interiors,Offices,Interiors,"When renovating this campus, now the headquarters of SunPower, Brightworks provided the owner with a LEED for Commercial Interiors playbook to ensure compliance with LEED CI requirements, although the renovations did not pursue formal LEED certification.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services; Other Green Building; Corporate Sustainability Programs,US - Northern California,
201-08-11 09:33:00,HUD Technical Assistance,Evergreen Real Estate,Elgin,IL,N/A,Multifamily Residential,Multifamily Residential,,"When planning major renovations to this property, Evergreen Real Estate Services secured a HUD technical assistance grant to retain Brightworks for an investigation of indoor air quality and energy efficiency strategies.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,"Other Green Building; Energy, Waste, & Water",US - Pacific Northwest,
201-08-11 09:33:00,Rosedale Elementary School,Hillsboro School District,Hillsboro,OR,LEED Silver,K-12 Education,K-12 Education,,"When parents demanded healthy and sustainable schools after passing a 2006 construction bond, Hillsboro School District hired Brightworks to successfully achieve Gold certification for its new Rosedale Elementary school.",LEED Gold,K-12 Education,K-12 Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Big Blue Bus Tenant Improvement LEED Contractor Services,City of Santa Monica,Santa Monica,CA,LEED Silver,Transportation & Parking|Interiors|Industrial,Transportation & Parking,Industrial,"When contractors need to perform LEED tasks, they call Brightworks to review and track materials, manage LEED documentation, coordinate with engineers and subcontractors, and manage the final submittal to LEED online.",LEED Silver,Government|Transportation,Government,Transportation,LEED Services,US - Southern California,
201-08-11 09:33:00,Wilshire Grand Tower,Korean Airlines,Los Angeles,CA,LEED Silver,Offices|Retail & Restaurants|Hospitality,Offices,Hospitality,"When complete, Wilshire Grand will be the largest tower west of the Mississippi River. Brightworks is managing the LEED program for this high-profile development, which will house Class A office space and a four-star hotel.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Southern California,
201-08-11 09:33:00,220 Illinois Apartments,Gerding Edlen Development,Chicago,IL,LEED Gold,Multifamily Residential,Multifamily Residential,,"When complete, this downtown Chicago tower will rise 25 stories and boast LEED Gold certification.",N/A,Real Estate Development,Real Estate Development,,LEED Services,US - Midwest,
201-08-11 09:33:00,Ching Athletics Complex,University of Hawaii,Honolulu,HI,LEED Certified,Higher Education|Interiors|Sports & Recreation,Higher Education,Sports & Recreation,"When complete, this 4,100-seat, all-purpose complex will accommodate UH track and field, football, soccer, volleyball, and recreation. A new, 3-story building aside the outdoor spaces will house offices, locker rooms, and a meeting room.",Not yet certified,"Higher Education|Sports, Recreation & Fitness",Higher Education,"Sports, Recreation & Fitness",LEED Services,US - Hawaii,
201-08-11 09:33:00,Sparks Athletic Center Renovation,Willamette University,Salem,OR,LEED Gold,Higher Education|Sports & Recreation,Higher Education,Sports & Recreation,"When complete, the renovation to Willamette University's 91,000-square-foot Sparks Fitness Center will achieve LEED Gold through re-use of the existing building, material salvage, a healthy and sustainable interior, and improved systems.",Not yet certified,"Higher Education|Sports, Recreation & Fitness",Higher Education,"Sports, Recreation & Fitness",LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Pico Branch Library,City of Santa Monica,Santa Monica,CA,LEED Platinum,Cultural & Public Service,Cultural & Public Service,,"When complete, Santa Monica's newest branch library will boast LEED Platinum certification. Sustainable design features include water cisterns, a photovoltaic solar array, extensive daylight in interior spaces, and views to the outdoors.",Not yet certified,Arts & Entertainment|Government,Arts & Entertainment,Government,LEED Services,US - Southern California,
201-08-11 09:33:00,Pear Avenue Business Park Building 1,Sobrato Organization,Mountain View,CA,LEED Gold,Offices,Offices,,"When complete, Google will occupy this 400,000-square-foot, multi-building complex in Mountain View, targeting LEED Platinum certification.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Northern California,
201-08-11 09:33:00,1255 Pear Avenue / 3000 Bowers LEED Contractor Services,Sobrato Organization,Mountain View,CA,LEED Gold,Offices,Offices,,"When complete, Google will occupy this 156,000-square-foot spec office building near its corporate headquarters in Mountain View, California.",Not yet certified,Real Estate Development|Construction,Real Estate Development,Construction,LEED Services,US - Northern California,
201-08-11 09:33:00,Prineville Data Center,Facebook,Prineville,OR,LEED Gold,Data Centers,Data Centers,,"When building its first global enterprise data center, Facebook hired Brightworks to manage its application for LEED Gold certification, to provide third-party validation of the paradigm-shifting innovations within the advanced facility.",LEED Gold,Technology,Technology,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Academic Instruction Center,Western Washington University (WWU),Bellingham,WA,LEED Certified,Higher Education,Higher Education,,"Western Washington University's Academic Instruction Center is projected to save over $50,000 per year in energy costs and conserve 85,000 gallons of potable water. The design smartly optimized passive strategies, such as natural ventilation.",LEED Certified,Higher Education,Higher Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Compton Student Union Building,Washington State University (WSU),Pullman,WA,LEED Certified,Higher Education|Sports & Recreation|Retail & Restaurants,Higher Education,Retail & Restaurants,"Washington State University's first LEED project, this major renovation to the university's 240,000-square-foot student union saves over $30,000 in energy costs and over 100 tons of carbon per year, compared to a conventional building.",LEED Silver,Higher Education,Higher Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Ronald Tutor Campus Center,University of Southern California (USC),Los Angeles,CA,LEED Silver,Higher Education|Retail & Restaurants,Higher Education,Retail & Restaurants,"USC's first LEED certified building, the Tutor Campus Center reduces energy costs by $122,000 per year. When removing existing buildings from the site to prepare for construction of the new center, USC diverted 98% of construction waste from landfills.",LEED Gold,Higher Education,Higher Education,,LEED Services,US - Southern California,
201-08-11 09:33:00,Midway Medical Clinic LEED Contractor Support,Healthpoint,Kent,WA,LEED Gold,Healthcare,Healthcare,,"Under our LEED Implementation for Contractors package, Brightworks ensures that the contractor and subcontractors meet the LEED requirements outlined in the project specifications and deliver the LEED program in line with the schedule.",Not yet certified,Healthcare & Social Services|Construction,Healthcare & Social Services,Construction,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Indio County Law Building,County of Riverside,Indio,CA,LEED Gold,Government,Government,,"Trammell Crow Company is developing a new detention and restitution facility for Southern California's Riverside County, programmed to house, treat, and supervise offenders following Governor Jerry Brown's 2011 Realignment Plan.",Not yet certified,Government,Government,,LEED Services,US - Southern California,
201-08-11 09:33:00,Municipal Operations Sustainability Plan,City of Tigard,Tigard,OR,N/A,N/A,N/A,,"To support the City of Tigard in creating its first sustainability action plan, Brightworks developed a draft plan for City staff to roll out to city departments and modify over time as internal sustainability capabilities expand.",N/A,Government,Government,,"Energy, Waste, & Water; Corporate Sustainability Programs; Reporting & Regulatory Compliance",US - Pacific Northwest,
201-08-11 09:33:00,Charleston West Executive Offices,Google,Mountain View,CA,LEED Gold,Offices|Interiors,Offices,Interiors,"To supply a portion of this 240,000-square-foot office building's energy needs, Google creatively harvested methane gas from a capped landfill next to the site. Google also specified a comprehensive set of healthy and sustainable building materials.",LEED Gold,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,Eberhardt School of Business,University of the Pacific (UOP),Stockton,CA,LEED Gold,Higher Education,Higher Education,,"To successfully generate donor funds for a new school of business, UOP conducted a comprehensive planning and pre-design effort to define the scope of the development, including an ambitious site and facility sustainability program.",Not yet certified,Higher Education,Higher Education,,LEED Services; Planning & Infrastructure,US - Northern California,
201-08-11 09:33:00,Left Bank Annex Sustainability Audit,Left Bank,Portland,OR,N/A,Hospitality|Retail & Restaurants,Hospitality,Retail & Restaurants,"To remain the most sustainable event space in Portland, the Left Bank Annex retained Brightworks to compare energy and water use to industry benchmarks, evaluate the substance of competitors' environmental claims, and validate its O&M practices.",N/A,Hospitality,Hospitality,,"Other Green Building; Energy, Waste, & Water; Corporate Sustainability Programs",US - Pacific Northwest,
201-08-11 09:33:00,Sun Valley Lodge and Sun Valley Inn Sustainability Assessment,Sun Valley Company,Sun Valley,ID,N/A,Hospitality|Sports & Recreation,Hospitality,Sports & Recreation,"To reduce costs and enhance environmental performance, the Sun Valley Lodge and the Sun Valley Inn retained Brightworks to evaluate their sustainability programs and recommend energy, water, waste, food service, procurement, and housekeeping improvements.",N/A,Hospitality,Hospitality,,"Energy, Waste, & Water; Corporate Sustainability Programs",US - Pacific Northwest,
201-08-11 09:33:00,New Living Building Challenge K-12 School,Victory Academy,Wilsonville,OR,N/A,K-12 Education,K-12 Education,,"To improve curriculum delivery for students with Autism Spectrum Disorders -- and accommodate a long waiting list -- Victory Academy is building a new facility in Portland, which aims to achieve Living Building Challenge certification.",N/A,K-12 Education,K-12 Education,,Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Venice Office Tenant Improvement,Google,Venice,CA,LEED Gold,Offices|Interiors,Offices,Interiors,"To house sales and engineering staff, Google purchased Frank Gehry's iconic Binocular Building in LA's beach-side Venice neighborhood. Brightworks then managed the LEED program for subsequent renovation work, resulting in Platinum certification.",LEED Platinum,Technology,Technology,,LEED Services; Advanced Green Buildings,US - Southern California,
201-08-11 09:33:00,Public Safety Building Sustainability Workshop,Los Angeles International Airport (LAX),Los Angeles,CA,N/A,Public Safety & Emergency Services,Public Safety & Emergency Services,,"To help plan a new Public Safety Building for Los Angeles International Airport, Brightworks facilitated this workshop with stakeholders to align the sustainability vision for the facility with existing Sustainability Guidelines and LEED requirements.",N/A,Aviation|N/A,Aviation,N/A,LEED Services,US - Southern California,
201-08-11 09:33:00,Portland Airport Sustainable Design Standards,Portland International Airport,Portland,OR,N/A,Transportation & Parking|Interiors,Transportation & Parking,Interiors,"To help airport retail tenants follow airport environmental policies, Brightworks reviewed and revised the Portland Airport's sustainability guidelines, including material standards and integrated design best practices.",N/A,Aviation|Transportation,Aviation,Transportation,Other Green Building,US - Pacific Northwest,
201-08-11 09:33:00,Building Envelope Embodied Carbon Footprint Study,Costco,Issaquah,WA,N/A,Retail & Restaurants,Retail & Restaurants,,"To find the design with the lowest lifecycle energy use, this study examined the embodied energy, carbon footprint, and on-going energy performance of three alternative designs for Costco stores.",N/A,Retail,Retail,,"Other Green Building; Energy, Waste, & Water",US - Pacific Northwest,
201-08-11 09:33:00,Parkside Office Building,SKB (ScanlanKemperBard Companies),Portland,OR,N/A,Offices,Offices,,"To enhance the marketability of this large downtown Portland office building, its new owner retained Brightworks to asses the feasibility of achieving certification under LEED's Existing Buildings: Operations & Maintenance program, a process now underway.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,LEED Services,US - Pacific Northwest,
